I0,I1,I2,I3,I4,I5,I6
25.42857,82.71429,52.57143,62.85714,1.00000,100.00000,100.00000
25.42857,82.71429,52.57143,62.85714,1.00000,100.00000,100.00000
25.42857,82.71429,52.57143,62.85714,1.00000,100.00000,100.00000
25.42857,82.71429,52.57143,62.85714,1.00000,100.00000,100.00000
25.42857,82.71429,52.57143,62.85714,1.00000,100.00000,100.00000
25.42857,82.71429,52.57143,62.85714,1.00000,100.00000,100.00000
25.42857,82.71429,52.57143,62.85714,1.00000,100.00000,100.00000
25.42857,82.71429,52.57143,62.85714,1.00000,100.00000,100.00000
25.85714,82.42857,53.00000,62.57143,1.07955,102.83688,105.42677
25.85714,82.42857,53.00000,62.57143,1.00000,100.00000,100.00000
27.00000,81.71429,54.14286,61.85714,1.15789,106.89655,111.43176
27.00000,81.71429,54.14286,61.85714,1.00000,100.00000,100.00000
28.57143,81.00000,55.71429,61.14286,1.25454,110.32259,118.13110
27.85714,81.14285,55.00000,61.28572,1.26812,115.78947,121.42567
27.85714,81.14285,55.00000,61.28572,1.00000,100.00000,100.00000
27.57143,81.00000,54.71429,61.14286,1.18286,107.07071,112.81766
27.57143,81.00000,54.71429,61.14286,1.00000,100.00000,100.00000
27.71428,81.28571,54.85714,61.42857,1.20290,109.90566,115.21481
27.71428,81.28571,54.85714,61.42857,1.00000,100.00000,100.00000
28.57143,81.14285,55.71429,61.28572,1.12450,110.72961,111.59302
28.57143,81.14285,55.71429,61.28572,1.00000,100.00000,100.00000
28.14286,81.28571,55.28572,61.42857,1.05357,103.87597,104.61918
28.14286,81.28571,55.28572,61.42857,1.00000,100.00000,100.00000
27.71428,81.28571,54.85714,61.42857,1.08814,105.22388,107.03378
27.71428,81.28571,54.85714,61.42857,1.00000,100.00000,100.00000
27.85714,81.14285,55.00000,61.28572,1.07477,103.54610,105.52966
27.85714,81.14285,55.00000,61.28572,1.00000,100.00000,100.00000
28.28572,81.28571,55.42857,61.42857,1.04348,103.42466,103.88727
28.28572,81.28571,55.42857,61.42857,1.00000,100.00000,100.00000
28.00000,81.28571,55.14286,61.42857,1.02222,102.98013,102.60188
28.00000,81.28571,55.14286,61.42857,1.00000,100.00000,100.00000
27.71428,81.42857,54.85714,61.57143,1.00815,100.32154,100.56868
27.71428,81.42857,54.85714,61.57143,1.00000,100.00000,100.00000
27.71428,81.42857,54.85714,61.57143,1.00269,100.00000,100.13486
27.71428,81.42857,54.85714,61.57143,1.00000,100.00000,100.00000
27.71428,81.42857,52.85714,57.71428,1.00000,100.00000,100.00000
27.71428,81.42857,52.85714,57.71428,1.00000,100.00000,100.00000
27.71428,81.42857,52.85714,57.71428,1.00000,100.00000,100.00000
27.71428,81.42857,52.85714,57.71428,1.00000,100.00000,100.00000
27.71428,81.42857,52.85714,57.71428,1.00000,100.00000,100.00000
27.71428,81.42857,52.85714,57.71428,1.00000,100.00000,100.00000
27.71428,81.42857,52.85714,57.71428,1.00000,100.00000,100.00000
27.71428,81.42857,52.85714,57.71428,1.00000,100.00000,100.00000
28.14286,81.42857,53.28571,57.71428,1.04587,101.16279,102.88923
28.14286,81.42857,53.28571,57.71428,1.00000,100.00000,100.00000
28.85714,81.57143,54.00000,57.85714,1.05263,104.21456,104.74018
28.85714,81.57143,54.00000,57.85714,1.00000,100.00000,100.00000
29.85714,81.28571,55.00000,57.57143,1.07500,104.41177,105.96712
29.85714,81.28571,55.00000,57.57143,1.00000,100.00000,100.00000
30.28571,80.85715,55.42857,57.14286,1.04651,103.52113,104.08768
30.28571,80.85715,55.42857,57.14286,1.00000,100.00000,100.00000
30.00000,80.71429,55.14286,57.00000,1.01852,101.02041,101.43698
30.00000,80.71429,55.14286,57.00000,1.00000,100.00000,100.00000
29.85714,80.85715,55.00000,57.14286,1.01454,100.33669,100.89717
29.71429,80.85715,54.85714,57.14286,1.01075,100.33557,100.70610
29.71429,80.85715,54.85714,57.14286,1.00000,100.00000,100.00000
29.57143,81.00000,54.71429,57.28571,1.00355,100.33446,100.34454
29.57143,81.00000,54.71429,57.28571,1.00353,100.33334,100.34335
29.57143,81.00000,54.71429,57.28571,1.00000,100.00000,100.00000
29.57143,81.00000,54.71429,57.28571,1.00000,100.00000,100.00000
29.57143,81.00000,54.71429,57.28571,1.00000,100.00000,100.00000
29.57143,81.00000,54.71429,57.28571,1.00000,100.00000,100.00000
29.57143,81.00000,54.71429,57.28571,1.00000,100.00000,100.00000
29.57143,81.00000,54.71429,57.28571,1.00000,100.00000,100.00000
29.57143,81.00000,54.71429,57.28571,1.00000,100.00000,100.00000
29.57143,81.00000,54.71429,57.28571,1.00000,100.00000,100.00000
29.57143,81.00000,54.71429,57.28571,1.00000,100.00000,100.00000
29.57143,81.00000,54.71429,57.28571,1.00000,100.00000,100.00000
29.57143,81.00000,54.71429,57.28571,1.00000,100.00000,100.00000
29.42857,81.00000,54.57143,57.28571,1.00704,100.00000,100.35274
29.42857,81.00000,54.57143,57.28571,1.00000,100.00000,100.00000
29.42857,81.00000,54.57143,57.28571,1.00000,100.00000,100.00000
29.42857,81.00000,54.57143,57.28571,1.00000,100.00000,100.00000
29.42857,81.00000,54.57143,57.28571,1.00000,100.00000,100.00000
29.42857,81.00000,54.57143,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00350,100.00000,100.17497
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.00000,54.42857,57.28571,1.00348,100.00000,100.17437
29.28571,81.00000,54.42857,57.28571,1.00000,100.00000,100.00000
29.28571,81.14285,54.42857,57.42857,1.00000,100.33222,100.16625
29.28571,81.14285,54.42857,57.42857,1.00000,100.00000,100.00000
29.28571,81.14285,54.42857,57.42857,1.00000,100.00000,100.00000
29.28571,81.14285,54.42857,57.42857,1.00000,100.00000,100.00000
29.28571,81.14285,54.42857,57.42857,1.00000,100.00000,100.00000
29.28571,81.14285,54.42857,57.42857,1.00000,100.00000,100.00000
29.28571,81.14285,54.42857,57.42857,1.00000,100.00000,100.00000
29.28571,81.14285,54.42857,57.42857,1.00000,100.00000,100.00000
