I0,I1,I2,I3,I4,I5,I6
11.85714,100.28571,54.85714,57.14286,5.51754,452.38876,599.08282
11.85714,100.28571,54.85714,57.14286,5.51754,452.38876,599.08282
11.85714,100.14286,54.85714,57.00000,5.48094,448.64383,594.61639
11.28571,100.00000,54.28572,56.85714,5.24304,434.41306,572.29156
10.85714,99.71429,53.85714,56.57143,5.07834,424.67624,556.89508
11.71429,98.57143,54.71429,55.42857,4.71233,403.70459,523.11450
12.85714,97.71429,55.85715,54.57143,4.34632,378.98801,486.80469
13.14286,97.57143,56.14285,54.42857,4.11757,359.51434,461.48730
10.85714,97.85714,53.85714,54.71429,3.52281,316.07300,400.31317
10.57143,97.85714,53.57143,54.71429,3.15680,292.10538,364.38324
11.28571,97.85714,54.28572,54.71429,2.91890,273.38068,338.98010
11.57143,98.00000,54.57143,54.85714,2.70845,256.90295,316.55032
12.00000,97.57143,55.00000,54.42857,2.61694,249.41306,306.58963
11.14286,98.00000,54.14286,54.85714,2.46139,236.68025,289.65469
10.85714,98.14285,53.85714,55.00000,2.32414,225.44542,274.70676
10.14286,98.28571,53.14286,55.14286,2.16859,214.21059,258.67960
9.71429,98.42857,52.71429,55.28572,1.98558,199.97981,239.18362
9.85714,98.57143,52.85714,55.42857,1.90323,190.24297,228.40240
10.14286,98.57143,53.14286,55.42857,1.71108,177.51016,209.26518
10.28571,98.71429,53.28571,55.57143,1.56468,169.27130,195.49924
10.42857,99.14285,53.42857,56.00000,1.29932,155.78952,171.36215
10.28571,99.42857,53.28571,56.28571,1.16207,146.80167,157.42180
9.71429,99.85715,52.71429,56.71428,1.05227,137.06482,144.78090
9.28571,100.14286,52.28571,57.00000,1.00000,125.82999,129.45258
9.28571,99.85715,52.28571,56.71428,1.00000,118.34011,121.71625
9.28571,99.85715,52.28571,56.71428,1.00000,118.34011,121.71625
9.00000,100.00000,52.00000,56.85714,1.00000,113.84618,116.81580
9.00000,100.00000,52.00000,56.85714,1.00000,113.84618,116.81580
8.71429,99.85715,51.71428,56.71428,1.00000,107.10529,110.11276
8.71429,99.85715,51.71428,56.71428,1.00000,107.10529,110.11276
8.71429,99.85715,51.71428,56.71428,1.00000,106.35630,109.72843
8.71429,99.85715,51.71428,56.71428,1.00000,106.35630,109.72843
8.71429,99.85715,51.71428,56.71428,1.00000,107.10529,110.11549
8.71429,99.85715,51.71428,56.71428,1.00000,107.10529,110.11549
9.14286,100.28571,52.14286,57.14286,1.11765,116.09315,121.22733
9.14286,100.28571,52.14286,57.14286,1.11765,116.09315,121.22733
10.57143,100.00000,53.57143,56.85714,1.64706,140.80975,163.60928
11.14286,98.85714,54.14286,55.71429,2.28235,172.26726,213.85062
12.00000,98.57143,55.00000,55.42857,2.74118,187.99599,245.38931
12.57143,98.71429,55.57143,55.57143,2.96471,197.73285,261.77463
13.14286,98.85714,56.14285,55.71429,3.15294,212.71262,280.00525
13.14286,98.71429,56.14285,55.57143,3.25882,225.44542,293.11038
12.71429,98.71429,55.71429,55.57143,3.49412,247.16609,317.83163
12.42857,98.71429,55.42857,55.57143,3.75294,262.89484,339.72003
