px,py,fx,fy,zx,zy,zs
0.50714,0.22571,0.42286,0.42286,0.98529,0.96748,0.97643
0.50714,0.22571,0.42286,0.42286,1.00000,1.00000,1.00000
0.50714,0.22571,0.42286,0.42286,0.99502,1.00000,0.99752
0.50714,0.22571,0.42286,0.42286,1.00000,1.00000,1.00000
0.50714,0.22571,0.42286,0.42286,1.00000,1.00000,1.00000
0.50714,0.22571,0.42286,0.42286,1.00000,1.00000,1.00000
0.50714,0.22571,0.42286,0.42286,1.00000,1.00000,1.00000
0.50714,0.22571,0.42286,0.42286,1.00000,1.00000,1.00000
0.50714,0.22571,0.42286,0.42286,1.00000,1.00000,1.00000
0.50714,0.22571,0.42286,0.42286,1.00000,1.00000,1.00000
0.50429,0.23000,0.42000,0.42714,1.01500,1.04202,1.02860
0.50429,0.23000,0.42000,0.42714,1.00000,1.00000,1.00000
0.50286,0.26857,0.41857,0.46571,1.29064,1.60484,1.45624
0.51571,0.27571,0.43143,0.47286,1.19084,1.26131,1.22658
0.50714,0.28857,0.42286,0.48571,1.04487,1.07570,1.06040
0.49571,0.30000,0.41143,0.49714,1.08589,1.11481,1.10045
0.48714,0.30429,0.40286,0.50143,1.04520,1.06644,1.05587
0.48286,0.30143,0.39857,0.49857,1.01892,1.04361,1.03134
0.47857,0.30714,0.39429,0.50429,1.02387,1.02090,1.02239
0.47143,0.31143,0.38714,0.50857,1.03627,1.03801,1.03714
0.46714,0.31429,0.38286,0.51143,1.02000,1.01690,1.01845
0.46571,0.31571,0.38143,0.51286,1.00980,1.01385,1.01183
0.46429,0.31571,0.38000,0.51286,1.00971,1.01093,1.01032
0.46143,0.31571,0.37714,0.51286,1.00721,1.00540,1.00631
0.46000,0.31571,0.37571,0.51286,1.00477,1.00000,1.00239
0.45857,0.31429,0.37429,0.51143,1.00475,1.00269,1.00372
0.45857,0.31429,0.37429,0.51143,1.00236,1.00000,1.00118
0.45857,0.31429,0.37429,0.51143,1.00000,1.00000,1.00000
0.46143,0.31286,0.37714,0.51000,0.99057,0.99464,0.99260
0.46714,0.30857,0.38286,0.50571,0.98095,0.98383,0.98239
0.50000,0.27286,0.41571,0.47000,0.87379,0.84658,0.86029
0.51429,0.25714,0.43000,0.45429,0.91944,0.89320,0.90642
0.52000,0.25143,0.43571,0.44857,0.95770,0.93116,0.94453
0.51429,0.24714,0.43000,0.44429,0.83596,0.82490,0.83045
0.50571,0.23857,0.42143,0.43571,0.79245,0.83491,0.81396
0.50857,0.23429,0.42429,0.43143,0.97143,0.96610,0.96877
0.50714,0.23429,0.42286,0.43143,0.98039,0.96491,0.97268
0.50857,0.23429,0.42429,0.43143,0.98500,0.96364,0.97438
0.51143,0.23429,0.42714,0.43143,0.97970,0.90566,0.94340
0.51143,0.23429,0.42714,0.43143,1.00000,1.00000,1.00000
0.51429,0.23286,0.43000,0.43000,0.96891,0.90972,0.93978
0.51429,0.23286,0.43000,0.43000,1.00000,1.00000,1.00000
0.51714,0.23286,0.43286,0.43000,0.97326,0.98473,0.97901
0.51714,0.23286,0.43286,0.43000,1.00000,1.00000,1.00000
0.51714,0.23429,0.43286,0.43143,0.99450,0.99225,0.99338
0.51714,0.23429,0.43286,0.43143,1.00000,1.00000,1.00000
0.51714,0.23143,0.43286,0.42857,1.00000,1.03906,1.01972
0.51714,0.23143,0.43286,0.42857,1.00000,1.00000,1.00000
0.51857,0.23000,0.43429,0.42714,1.13260,1.27820,1.20759
0.52857,0.25286,0.44429,0.45000,1.44878,1.53529,1.49266
0.52143,0.27000,0.43714,0.46714,1.06061,1.11877,1.09008
0.51714,0.27714,0.43286,0.47429,1.04127,1.06849,1.05497
0.50857,0.28857,0.42429,0.48571,1.05183,1.07692,1.06445
0.50429,0.29143,0.42000,0.48857,1.04058,1.05060,1.04560
0.50857,0.28857,0.42429,0.48571,1.03621,1.04533,1.04078
0.51000,0.29000,0.42571,0.48714,1.01882,1.02710,1.02297
0.51286,0.28714,0.42857,0.48429,1.01319,1.01583,1.01451
0.51286,0.28571,0.42857,0.48286,1.00000,1.01039,1.00521
0.51286,0.28571,0.42857,0.48286,1.00000,1.00000,1.00000
0.51286,0.28571,0.42857,0.48286,1.00000,1.00000,1.00000
0.51286,0.28571,0.42857,0.48286,1.00000,1.00000,1.00000
0.51286,0.28571,0.42857,0.48286,1.00000,1.00000,1.00000
0.51429,0.27571,0.43000,0.47286,0.95313,0.91003,0.93182
0.51429,0.27571,0.39000,0.49143,1.00000,1.00000,1.00000
0.34143,0.57857,0.50857,0.49143,1.00000,1.00000,1.00000
0.34143,0.57857,0.50857,0.49143,1.00000,1.00000,1.00000
0.34143,0.57857,0.50857,0.49143,1.00000,1.00000,1.00000
0.34143,0.57857,0.50857,0.49143,1.00000,1.00000,1.00000
0.34143,0.57857,0.50857,0.49143,1.00000,1.00000,1.00000
0.33714,0.57857,0.50429,0.49143,1.02991,1.04098,1.03546
0.32857,0.58286,0.49571,0.49571,1.07469,1.10236,1.08861
0.32286,0.58857,0.49000,0.50143,1.07722,1.16429,1.12160
0.31714,0.59429,0.48429,0.50714,1.05735,1.09203,1.07483
0.30714,0.59714,0.47429,0.51000,1.07458,1.09551,1.08509
0.30000,0.59857,0.46714,0.51143,1.05047,1.05641,1.05345
0.29143,0.60000,0.45857,0.51286,1.04505,1.03884,1.04194
0.28286,0.60286,0.45000,0.51571,1.04885,1.06542,1.05717
0.28143,0.60571,0.44857,0.51857,1.01644,1.03509,1.02580
0.28000,0.60857,0.44714,0.52143,1.00539,1.02542,1.01546
0.28000,0.60857,0.44714,0.52143,1.00536,1.00413,1.00475
0.27714,0.61143,0.44429,0.52429,1.01333,1.02469,1.01903
0.27143,0.61571,0.43857,0.52857,1.02105,1.02811,1.02459
0.26571,0.62000,0.43286,0.53286,1.01804,1.02344,1.02074
0.26429,0.62286,0.43143,0.53571,1.00759,1.01527,1.01144
0.26143,0.62429,0.42857,0.53714,1.00754,1.01128,1.00941
