实时频率,平均频率
125.00000,125.00000
100.00000,112.50000
142.85699,122.61900
100.00000,116.96400
100.00000,113.57100
100.00000,111.31000
100.00000,109.69400
100.00000,108.48200
100.00000,107.54000
100.00000,106.78600
100.00000,106.16900
100.00000,105.65500
100.00000,105.22000
100.00000,104.84700
71.42900,102.61900
166.66701,106.62200
100.00000,106.23200
100.00000,105.88600
100.00000,105.57600
100.00000,105.29800
100.00000,105.04500
100.00000,104.81600
100.00000,104.60700
100.00000,104.41500
100.00000,104.23800
100.00000,104.07500
100.00000,103.92400
100.00000,103.78400
100.00000,103.65400
111.11100,103.90200
83.33300,103.23900
100.00000,103.13700
111.11100,103.37900
100.00000,103.28000
71.42900,102.37000
166.66701,104.15600
100.00000,104.04300
100.00000,103.93700
100.00000,103.83600
100.00000,103.74000
100.00000,103.64900
100.00000,103.56200
100.00000,103.47900
76.92300,102.87600
142.85699,103.76400
111.11100,103.92400
83.33300,103.48600
100.00000,103.41300
111.11100,103.57000
100.00000,103.49900
100.00000,103.43000
100.00000,103.36400
100.00000,103.30100
111.11100,103.44500
62.50000,102.70100
166.66701,103.84300
111.11100,103.97100
111.11100,104.09400
83.33300,103.74200
111.11100,103.86500
100.00000,103.80100
100.00000,103.74000
90.90900,103.53600
100.00000,103.48100
111.11100,103.59900
100.00000,103.54400
100.00000,103.49100
100.00000,103.44000
100.00000,103.39000
100.00000,103.34100
100.00000,103.29400
100.00000,103.24900
100.00000,103.20400
100.00000,103.16100
71.42900,102.73800
166.66701,103.57900
100.00000,103.53200
111.11100,103.63000
90.90900,103.46900
100.00000,103.42500
100.00000,103.38300
100.00000,103.34200
100.00000,103.30100
100.00000,103.26200
100.00000,103.22400
111.11100,103.31500
83.33300,103.08600
111.11100,103.17700
100.00000,103.14100
111.11100,103.23000
83.33300,103.01100
111.11100,103.09900
90.90900,102.96800
111.11100,103.05500
66.66700,102.67200
166.66701,103.33800
111.11100,103.41900
100.00000,103.38400
100.00000,103.34900
100.00000,103.31600
100.00000,103.28300
111.11100,103.36000
90.90900,103.23900
100.00000,103.20800
100.00000,103.17700
111.11100,103.25200
83.33300,103.06600
90.90900,102.95300
111.11100,103.02800
111.11100,103.10200
90.90900,102.99200
100.00000,102.96500
111.11100,103.03700
111.11100,103.10800
62.50000,102.75500
200.00000,103.59300
100.00000,103.56300
100.00000,103.53200
90.90900,103.42600
111.11100,103.49000
100.00000,103.46200
100.00000,103.43300
90.90900,103.33100
111.11100,103.39400
90.90900,103.29400
111.11100,103.35600
90.90900,103.25800
100.00000,103.23300
111.11100,103.29400
100.00000,103.26800
100.00000,103.24400
100.00000,103.21900
100.00000,103.19500
100.00000,103.17100
71.42900,102.93600
166.66701,103.40400
100.00000,103.38000
100.00000,103.35500
100.00000,103.33100
100.00000,103.30700
100.00000,103.28400
111.11100,103.33900
90.90900,103.25200
90.90900,103.16600
111.11100,103.22100
100.00000,103.19900
100.00000,103.17700
100.00000,103.15600
100.00000,103.13400
111.11100,103.18800
83.33300,103.05600
111.11100,103.10900
100.00000,103.08900
111.11100,103.14100
62.50000,102.87900
200.00000,103.50100
100.00000,103.47900
100.00000,103.45700
90.90900,103.37800
100.00000,103.35700
111.11100,103.40500
100.00000,103.38400
100.00000,103.36300
100.00000,103.34300
100.00000,103.32300
111.11100,103.36900
83.33300,103.25000
111.11100,103.29600
100.00000,103.27700
111.11100,103.32300
83.33300,103.20600
90.90900,103.13500
111.11100,103.18100
111.11100,103.22600
66.66700,103.01700
166.66701,103.37900
111.11100,103.42300
111.11100,103.46600
83.33300,103.35300
111.11100,103.39600
100.00000,103.37800
100.00000,103.35900
90.90900,103.29100
111.11100,103.33400
90.90900,103.26600
111.11100,103.30900
90.90900,103.24200
111.11100,103.28400
90.90900,103.21900
111.11100,103.26000
90.90900,103.19600
100.00000,103.17900
111.11100,103.22000
100.00000,103.20300
71.42900,103.04000
166.66701,103.36500
100.00000,103.34800
111.11100,103.38700
90.90900,103.32400
100.00000,103.30800
100.00000,103.29100
111.11100,103.33000
83.33300,103.23200
111.11100,103.27000
100.00000,103.25400
100.00000,103.23800
90.90900,103.17900
100.00000,103.16400
111.11100,103.20200
111.11100,103.23900
83.33300,103.14500
111.11100,103.18300
90.90900,103.12500
111.11100,103.16200
66.66700,102.99300
200.00000,103.44200
100.00000,103.42600
100.00000,103.41000
90.90900,103.35300
111.11100,103.38800
90.90900,103.33200
111.11100,103.36700
90.90900,103.31100
100.00000,103.29600
111.11100,103.33100
111.11100,103.36500
83.33300,103.27700
111.11100,103.31100
90.90900,103.25700
111.11100,103.29100
90.90900,103.23800
111.11100,103.27200
90.90900,103.21900
111.11100,103.25200
66.66700,103.09700
166.66701,103.36600
83.33300,103.28200
142.85699,103.44800
90.90900,103.39500
111.11100,103.42800
100.00000,103.41300
100.00000,103.39900
90.90900,103.34800
111.11100,103.38000
90.90900,103.32900
111.11100,103.36000
90.90900,103.31000
111.11100,103.34100
90.90900,103.29100
111.11100,103.32300
