I0,I1
0.00100,0.00100
111.11100,55.55600
166.66701,92.59300
166.66701,111.11100
100.00000,108.88900
200.00000,124.07400
166.66701,130.15900
166.66701,134.72200
166.66701,138.27200
166.66701,141.11099
166.66701,143.43401
200.00000,148.14799
166.66701,149.57300
166.66701,150.79401
166.66701,151.85201
200.00000,154.86099
142.85699,154.15500
200.00000,156.70200
166.66701,157.22600
166.66701,157.69800
166.66701,158.12601
166.66701,158.51401
200.00000,160.31799
166.66701,160.58200
100.00000,158.15900
166.66701,158.48599
200.00000,160.02400
166.66701,160.26100
200.00000,161.63100
200.00000,162.91000
166.66701,163.03101
142.85699,162.40100
166.66701,162.53000
200.00000,163.63200
166.66701,163.71899
166.66701,163.80099
166.66701,163.87801
166.66701,163.95200
200.00000,164.87601
166.66701,164.92101
166.66701,164.96300
166.66701,165.00400
200.00000,165.81799
111.11100,164.57401
111.11100,163.38600
200.00000,164.18201
166.66701,164.23500
166.66701,164.28600
166.66701,164.33400
166.66701,164.38100
200.00000,165.07899
166.66701,165.11000
200.00000,165.76801
200.00000,166.40199
166.66701,166.40700
142.85699,165.98599
200.00000,166.58299
200.00000,167.15900
166.66701,167.15100
166.66701,167.14301
166.66701,167.13499
166.66701,167.12801
166.66701,167.12000
142.85699,166.74100
100.00000,165.71400
166.66701,165.72900
166.66701,165.74300
200.00000,166.24699
166.66701,166.25301
166.66701,166.25900
200.00000,166.73399
166.66701,166.73300
166.66701,166.73199
166.66701,166.73100
200.00000,167.17500
166.66701,167.16800
200.00000,167.59399
200.00000,168.00999
166.66701,167.99300
142.85699,167.67900
166.66701,167.66600
200.00000,168.06000
166.66701,168.04401
166.66701,168.02699
111.11100,167.35800
200.00000,167.73700
166.66701,167.72501
166.66701,167.71300
166.66701,167.70100
250.00000,168.61600
142.85699,168.33200
200.00000,168.67700
166.66701,168.65500
166.66701,168.63400
166.66701,168.61301
142.85699,168.34500
166.66701,168.32800
200.00000,168.65100
166.66701,168.63100
200.00000,168.94400
166.66701,168.92200
200.00000,169.22701
166.66701,169.20200
166.66701,169.17700
100.00000,168.51900
200.00000,168.81599
166.66701,168.79500
125.00000,168.39000
166.66701,168.37399
166.66701,168.35899
166.66701,168.34300
166.66701,168.32800
166.66701,168.31400
200.00000,168.59200
166.66701,168.57500
200.00000,168.84599
166.66701,168.82700
166.66701,168.80901
142.85699,168.59100
200.00000,168.85300
142.85699,168.63800
200.00000,168.89500
142.85699,168.68300
166.66701,168.66701
90.90900,168.04500
200.00000,168.29800
166.66701,168.28600
142.85699,168.08701
166.66701,168.07600
166.66701,168.06500
166.66701,168.05400
200.00000,168.29601
166.66701,168.28400
166.66701,168.27200
166.66701,168.25999
200.00000,168.49400
166.66701,168.48000
166.66701,168.46700
166.66701,168.45399
9.52400,167.31900
125.00000,167.01900
166.66701,167.01601
111.11100,166.62500
125.00000,166.33600
111.11100,165.95500
166.66701,165.96001
111.11100,165.58701
166.66701,165.59399
125.00000,165.32201
166.66701,165.33099
111.11100,164.97200
125.00000,164.70900
125.00000,164.44901
166.66701,164.46400
111.11100,164.12000
125.00000,163.86900
111.11100,163.53300
111.11100,163.20100
111.11100,162.87300
76.92300,162.33600
125.00000,162.10400
142.85699,161.98500
125.00000,161.75900
142.85699,161.64301
125.00000,161.42101
200.00000,161.65401
111.11100,161.35100
111.11100,161.05200
125.00000,160.83900
166.66701,160.87300
111.11100,160.58200
100.00000,160.23000
100.00000,159.88200
125.00000,159.68100
100.00000,159.34000
111.11100,159.06599
125.00000,158.87399
166.66701,158.91701
100.00000,158.58800
83.33300,158.17000
111.11100,157.91000
111.11100,157.65300
100.00000,157.33800
125.00000,157.16200
111.11100,156.91299
111.11100,156.66701
100.00000,156.36400
111.11100,156.12300
100.00000,155.82600
111.11100,155.59100
100.00000,155.30000
125.00000,155.14200
100.00000,154.85600
142.85699,154.79500
111.11100,154.57001
166.66701,154.63200
111.11100,154.41100
166.66701,154.47301
100.00000,154.19901
83.33300,153.84500
111.11100,153.63300
166.66701,153.69701
111.11100,153.48700
125.00000,153.34801
100.00000,153.08701
111.11100,152.88400
111.11100,152.68201
111.11100,152.48199
111.11100,152.28400
166.66701,152.35201
111.11100,152.15700
111.11100,151.96300
111.11100,151.77200
111.11100,151.58200
100.00000,151.34200
125.00000,151.22000
100.00000,150.98399
111.11100,150.80099
100.00000,150.56900
76.92300,150.23399
111.11100,150.05701
111.11100,149.88200
111.11100,149.70799
125.00000,149.59700
111.11100,149.42599
166.66701,149.50301
111.11100,149.33400
142.85699,149.30499
100.00000,149.09000
125.00000,148.98500
100.00000,148.77299
125.00000,148.67101
125.00000,148.56900
111.11100,148.40900
111.11100,148.25000
111.11100,148.09300
71.42900,147.76900
125.00000,147.67400
100.00000,147.47400
76.92300,147.17999
111.11100,147.03101
125.00000,146.94000
100.00000,146.74600
111.11100,146.60001
111.11100,146.45599
111.11100,146.31200
100.00000,146.12399
125.00000,146.03900
100.00000,145.85400
111.11100,145.71500
100.00000,145.53300
111.11100,145.39700
111.11100,145.26100
111.11100,145.12700
125.00000,145.04800
125.00000,144.96899
100.00000,144.79401
166.66701,144.87900
100.00000,144.70599
90.90900,144.49899
111.11100,144.37100
142.85699,144.36501
125.00000,144.29201
142.85699,144.28600
111.11100,144.16100
142.85699,144.15601
125.00000,144.08400
142.85699,144.08000
111.11100,143.95700
200.00000,144.16499
100.00000,144.00200
100.00000,143.84000
111.11100,143.72000
142.85699,143.71700
111.11100,143.59801
142.85699,143.59599
100.00000,143.43800
166.66701,143.52200
100.00000,143.36600
71.42900,143.10899
111.11100,142.99500
166.66701,143.07899
100.00000,142.92700
111.11100,142.81500
100.00000,142.66499
111.11100,142.55400
100.00000,142.40601
100.00000,142.25900
100.00000,142.11301
142.85699,142.11501
111.11100,142.00900
166.66701,142.09300
100.00000,141.94901
166.66701,142.03300
100.00000,141.89101
111.11100,141.78700
100.00000,141.64600
142.85699,141.64999
100.00000,141.51100
66.66700,141.26199
166.66701,141.34599
200.00000,141.53999
142.85699,141.54500
166.66701,141.62700
200.00000,141.81900
200.00000,142.00900
166.66701,142.08900
200.00000,142.27699
142.85699,142.27901
200.00000,142.46500
142.85699,142.46600
200.00000,142.65100
166.66701,142.72701
166.66701,142.80400
166.66701,142.87900
166.66701,142.95500
142.85699,142.95399
200.00000,143.13400
142.85699,143.13300
100.00000,142.99800
166.66701,143.07201
166.66701,143.14500
200.00000,143.32100
200.00000,143.49600
166.66701,143.56700
200.00000,143.74100
166.66701,143.81100
166.66701,143.88000
200.00000,144.05099
200.00000,144.22000
166.66701,144.28799
166.66701,144.35600
166.66701,144.42300
200.00000,144.58900
142.85699,144.58400
166.66701,144.64999
200.00000,144.81400
200.00000,144.97701
142.85699,144.97099
29.41200,144.63100
166.66701,144.69600
166.66701,144.75999
166.66701,144.82401
166.66701,144.88699
166.66701,144.95000
200.00000,145.10899
142.85699,145.10300
200.00000,145.26100
142.85699,145.25400
200.00000,145.41000
142.85699,145.40300
166.66701,145.46300
166.66701,145.52299
250.00000,145.81900
