I0,I1
0.09000,0.09000
25.00000,12.54500
25.00000,16.69700
25.00000,18.77300
25.00000,20.01800
25.00000,20.84800
25.00000,21.44100
25.00000,21.88600
25.00000,22.23200
25.00000,22.50900
25.00000,22.73500
25.00000,22.92400
25.00000,23.08400
25.00000,23.22100
25.00000,23.33900
25.00000,23.44300
25.00000,23.53500
25.00000,23.61600
25.00000,23.68900
25.00000,23.75500
25.00000,23.81400
25.00000,23.86800
25.00000,23.91700
25.00000,23.96200
25.00000,24.00400
25.00000,24.04200
25.00000,24.07700
25.00000,24.11000
25.00000,24.14100
25.00000,24.17000
25.00000,24.19600
25.00000,24.22200
25.00000,24.24500
25.00000,24.26700
25.00000,24.28800
25.00000,24.30800
25.00000,24.32700
25.00000,24.34400
25.00000,24.36100
25.00000,24.37700
25.00000,24.39200
25.00000,24.40700
25.00000,24.42100
25.00000,24.43400
25.00000,24.44600
25.00000,24.45800
25.00000,24.47000
25.00000,24.48100
25.00000,24.49200
25.00000,24.50200
25.00000,24.51200
25.00000,24.52100
25.00000,24.53000
25.00000,24.53900
25.00000,24.54700
25.00000,24.55500
25.00000,24.56300
25.00000,24.57100
25.00000,24.57800
25.00000,24.58500
25.00000,24.59200
25.00000,24.59800
25.00000,24.60500
25.00000,24.61100
25.00000,24.61700
25.00000,24.62300
25.00000,24.62800
25.00000,24.63400
25.00000,24.63900
25.00000,24.64400
25.00000,24.64900
25.00000,24.65400
25.00000,24.65900
25.00000,24.66300
25.00000,24.66800
25.00000,24.67200
25.00000,24.67600
25.00000,24.68100
25.00000,24.68500
25.00000,24.68900
25.00000,24.69200
25.00000,24.69600
25.00000,24.70000
25.00000,24.70300
25.00000,24.70700
25.00000,24.71000
25.00000,24.71400
25.00000,24.71700
25.00000,24.72000
25.00000,24.72300
25.00000,24.72600
25.00000,24.72900
25.00000,24.73200
25.00000,24.73500
25.00000,24.73800
25.00000,24.74100
25.00000,24.74300
25.00000,24.74600
25.00000,24.74800
25.00000,24.75100
25.00000,24.75300
25.00000,24.75600
25.00000,24.75800
25.00000,24.76000
25.00000,24.76300
25.00000,24.76500
25.00000,24.76700
25.00000,24.76900
25.00000,24.77100
25.00000,24.77400
25.00000,24.77600
25.00000,24.77800
25.00000,24.78000
25.00000,24.78100
25.00000,24.78300
25.00000,24.78500
25.00000,24.78700
25.00000,24.78900
25.00000,24.79100
25.00000,24.79200
25.00000,24.79400
25.00000,24.79600
25.00000,24.79700
25.00000,24.79900
25.00000,24.80100
25.00000,24.80200
25.00000,24.80400
25.00000,24.80500
25.00000,24.80700
25.00000,24.80800
25.00000,24.81000
25.00000,24.81100
25.00000,24.81300
25.00000,24.81400
25.00000,24.81500
25.00000,24.81700
25.00000,24.81800
25.00000,24.81900
25.00000,24.82100
25.00000,24.82200
25.00000,24.82300
25.00000,24.82500
25.00000,24.82600
25.00000,24.82700
25.00000,24.82800
25.00000,24.82900
25.00000,24.83100
25.00000,24.83200
25.00000,24.83300
25.00000,24.83400
25.00000,24.83500
25.00000,24.83600
25.00000,24.83700
25.00000,24.83800
25.00000,24.83900
25.00000,24.84000
25.00000,24.84100
25.00000,24.84200
25.00000,24.84300
25.00000,24.84400
25.00000,24.84500
25.00000,24.84600
25.00000,24.84700
25.00000,24.84800
25.00000,24.84900
25.00000,24.85000
25.00000,24.85100
25.00000,24.85200
25.00000,24.85300
25.00000,24.85300
25.00000,24.85400
25.00000,24.85500
25.00000,24.85600
25.00000,24.85700
25.00000,24.85800
25.00000,24.85800
25.00000,24.85900
25.00000,24.86000
25.00000,24.86100
25.00000,24.86200
25.00000,24.86200
25.00000,24.86300
25.00000,24.86400
25.00000,24.86500
25.00000,24.86500
25.00000,24.86600
25.00000,24.86700
25.00000,24.86800
25.00000,24.86800
25.00000,24.86900
25.00000,24.87000
25.00000,24.87000
25.00000,24.87100
25.00000,24.87200
25.00000,24.87200
25.00000,24.87300
25.00000,24.87400
25.00000,24.87400
25.00000,24.87500
25.00000,24.87500
25.00000,24.87600
25.00000,24.87700
25.00000,24.87700
25.00000,24.87800
25.00000,24.87800
25.00000,24.87900
25.00000,24.88000
25.00000,24.88000
25.00000,24.88100
25.00000,24.88100
25.00000,24.88200
25.00000,24.88300
25.00000,24.88300
25.00000,24.88400
25.00000,24.88400
25.00000,24.88500
25.00000,24.88500
25.00000,24.88600
25.00000,24.88600
25.00000,24.88700
25.00000,24.88700
25.00000,24.88800
25.00000,24.88800
25.00000,24.88900
25.00000,24.88900
25.00000,24.89000
25.00000,24.89000
25.00000,24.89100
25.00000,24.89100
25.00000,24.89200
25.00000,24.89200
25.00000,24.89300
25.00000,24.89300
25.00000,24.89400
25.00000,24.89400
25.00000,24.89400
25.00000,24.89500
25.00000,24.89500
25.00000,24.89600
25.00000,24.89600
25.00000,24.89700
25.00000,24.89700
25.00000,24.89700
25.00000,24.89800
25.00000,24.89800
25.00000,24.89900
25.00000,24.89900
25.00000,24.90000
25.00000,24.90000
25.00000,24.90000
25.00000,24.90100
25.00000,24.90100
25.00000,24.90200
25.00000,24.90200
25.00000,24.90200
25.00000,24.90300
25.00000,24.90300
25.00000,24.90300
25.00000,24.90400
25.00000,24.90400
25.00000,24.90500
25.00000,24.90500
25.00000,24.90500
25.00000,24.90600
25.00000,24.90600
25.00000,24.90600
25.00000,24.90700
25.00000,24.90700
25.00000,24.90700
25.00000,24.90800
25.00000,24.90800
25.00000,24.90800
25.00000,24.90900
25.00000,24.90900
25.00000,24.90900
25.00000,24.91000
25.00000,24.91000
25.00000,24.91000
25.00000,24.91100
25.00000,24.91100
25.00000,24.91100
25.00000,24.91200
25.00000,24.91200
25.00000,24.91200
25.00000,24.91300
25.00000,24.91300
25.00000,24.91300
25.00000,24.91400
25.00000,24.91400
25.00000,24.91400
25.00000,24.91400
25.00000,24.91500
25.00000,24.91500
25.00000,24.91500
25.00000,24.91600
25.00000,24.91600
25.00000,24.91600
25.00000,24.91600
25.00000,24.91700
25.00000,24.91700
25.00000,24.91700
25.00000,24.91800
25.00000,24.91800
25.00000,24.91800
25.00000,24.91800
25.00000,24.91900
25.00000,24.91900
25.00000,24.91900
25.00000,24.91900
25.00000,24.92000
25.00000,24.92000
25.00000,24.92000
25.00000,24.92000
25.00000,24.92100
25.00000,24.92100
25.00000,24.92100
25.00000,24.92100
25.00000,24.92200
25.00000,24.92200
25.00000,24.92200
25.00000,24.92200
25.00000,24.92300
25.00000,24.92300
25.00000,24.92300
25.00000,24.92300
25.00000,24.92400
25.00000,24.92400
25.00000,24.92400
25.00000,24.92400
25.00000,24.92500
25.00000,24.92500
25.00000,24.92500
25.00000,24.92500
25.00000,24.92500
25.00000,24.92600
25.00000,24.92600
25.00000,24.92600
25.00000,24.92600
25.00000,24.92700
25.00000,24.92700
25.00000,24.92700
25.00000,24.92700
25.00000,24.92700
25.00000,24.92800
25.00000,24.92800
25.00000,24.92800
25.00000,24.92800
25.00000,24.92800
25.00000,24.92900
25.00000,24.92900
25.00000,24.92900
25.00000,24.92900
25.00000,24.92900
25.00000,24.93000
25.00000,24.93000
25.00000,24.93000
25.00000,24.93000
25.00000,24.93000
25.00000,24.93100
25.00000,24.93100
25.00000,24.93100
25.00000,24.93100
25.00000,24.93100
25.00000,24.93200
25.00000,24.93200
25.00000,24.93200
25.00000,24.93200
25.00000,24.93200
25.00000,24.93200
25.00000,24.93300
25.00000,24.93300
25.00000,24.93300
25.00000,24.93300
25.00000,24.93300
25.00000,24.93400
25.00000,24.93400
25.00000,24.93400
25.00000,24.93400
25.00000,24.93400
25.00000,24.93400
25.00000,24.93500
25.00000,24.93500
25.00000,24.93500
25.00000,24.93500
25.00000,24.93500
25.00000,24.93500
25.00000,24.93600
25.00000,24.93600
25.00000,24.93600
25.00000,24.93600
25.00000,24.93600
25.00000,24.93600
25.00000,24.93700
25.00000,24.93700
25.00000,24.93700
25.00000,24.93700
25.00000,24.93700
25.00000,24.93700
25.00000,24.93800
25.00000,24.93800
25.00000,24.93800
25.00000,24.93800
25.00000,24.93800
25.00000,24.93800
25.00000,24.93800
25.00000,24.93900
25.00000,24.93900
25.00000,24.93900
25.00000,24.93900
25.00000,24.93900
25.00000,24.93900
25.00000,24.94000
25.00000,24.94000
25.00000,24.94000
25.00000,24.94000
25.00000,24.94000
25.00000,24.94000
25.00000,24.94000
25.00000,24.94100
25.00000,24.94100
25.00000,24.94100
25.00000,24.94100
25.00000,24.94100
25.00000,24.94100
25.00000,24.94100
25.00000,24.94200
25.00000,24.94200
25.00000,24.94200
25.00000,24.94200
25.00000,24.94200
25.00000,24.94200
25.00000,24.94200
25.00000,24.94200
25.00000,24.94300
25.00000,24.94300
25.00000,24.94300
25.00000,24.94300
25.00000,24.94300
25.00000,24.94300
25.00000,24.94300
25.00000,24.94400
25.00000,24.94400
25.00000,24.94400
25.00000,24.94400
25.00000,24.94400
25.00000,24.94400
25.00000,24.94400
25.00000,24.94400
25.00000,24.94500
25.00000,24.94500
25.00000,24.94500
25.00000,24.94500
25.00000,24.94500
25.00000,24.94500
25.00000,24.94500
25.00000,24.94500
25.00000,24.94500
25.00000,24.94600
25.00000,24.94600
25.00000,24.94600
25.00000,24.94600
25.00000,24.94600
25.00000,24.94600
25.00000,24.94600
25.00000,24.94600
25.00000,24.94700
25.00000,24.94700
25.00000,24.94700
25.00000,24.94700
25.00000,24.94700
25.00000,24.94700
25.00000,24.94700
25.00000,24.94700
25.00000,24.94700
25.00000,24.94800
25.00000,24.94800
25.00000,24.94800
25.00000,24.94800
25.00000,24.94800
25.00000,24.94800
25.00000,24.94800
25.00000,24.94800
25.00000,24.94800
25.00000,24.94900
25.00000,24.94900
25.00000,24.94900
25.00000,24.94900
25.00000,24.94900
25.00000,24.94900
25.00000,24.94900
25.00000,24.94900
25.00000,24.94900
25.00000,24.94900
25.00000,24.95000
25.00000,24.95000
25.00000,24.95000
25.00000,24.95000
25.00000,24.95000
25.00000,24.95000
25.00000,24.95000
25.00000,24.95000
25.00000,24.95000
25.00000,24.95000
25.00000,24.95100
25.00000,24.95100
25.00000,24.95100
25.00000,24.95100
25.00000,24.95100
25.00000,24.95100
25.00000,24.95100
25.00000,24.95100
25.00000,24.95100
25.00000,24.95100
25.00000,24.95200
25.00000,24.95200
25.00000,24.95200
25.00000,24.95200
25.00000,24.95200
25.00000,24.95200
25.00000,24.95200
25.00000,24.95200
25.00000,24.95200
25.00000,24.95200
25.00000,24.95200
25.00000,24.95300
25.00000,24.95300
25.00000,24.95300
25.00000,24.95300
25.00000,24.95300
25.00000,24.95300
25.00000,24.95300
25.00000,24.95300
25.00000,24.95300
25.00000,24.95300
25.00000,24.95300
25.00000,24.95400
25.00000,24.95400
25.00000,24.95400
25.00000,24.95400
25.00000,24.95400
25.00000,24.95400
25.00000,24.95400
25.00000,24.95400
25.00000,24.95400
25.00000,24.95400
25.00000,24.95400
25.00000,24.95400
25.00000,24.95500
25.00000,24.95500
25.00000,24.95500
25.00000,24.95500
25.00000,24.95500
25.00000,24.95500
25.00000,24.95500
25.00000,24.95500
25.00000,24.95500
25.00000,24.95500
25.00000,24.95500
25.00000,24.95500
25.00000,24.95600
25.00000,24.95600
25.00000,24.95600
25.00000,24.95600
25.00000,24.95600
25.00000,24.95600
25.00000,24.95600
25.00000,24.95600
25.00000,24.95600
25.00000,24.95600
25.00000,24.95600
25.00000,24.95600
25.00000,24.95600
25.00000,24.95700
25.00000,24.95700
25.00000,24.95700
25.00000,24.95700
25.00000,24.95700
25.00000,24.95700
25.00000,24.95700
25.00000,24.95700
25.00000,24.95700
25.00000,24.95700
25.00000,24.95700
25.00000,24.95700
25.00000,24.95700
25.00000,24.95700
25.00000,24.95800
25.00000,24.95800
25.00000,24.95800
25.00000,24.95800
25.00000,24.95800
25.00000,24.95800
25.00000,24.95800
25.00000,24.95800
25.00000,24.95800
25.00000,24.95800
25.00000,24.95800
25.00000,24.95800
25.00000,24.95800
25.00000,24.95800
25.00000,24.95900
25.00000,24.95900
25.00000,24.95900
25.00000,24.95900
25.00000,24.95900
25.00000,24.95900
25.00000,24.95900
25.00000,24.95900
25.00000,24.95900
25.00000,24.95900
25.00000,24.95900
25.00000,24.95900
25.00000,24.95900
25.00000,24.95900
25.00000,24.95900
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
