单次频率,平均频率
0.03200,0.03200
25.00000,12.51600
25.00000,16.67700
25.00000,18.75800
25.00000,20.00600
25.00000,20.83900
25.00000,21.43300
25.00000,21.87900
25.00000,22.22600
25.00000,22.50300
25.00000,22.73000
25.00000,22.91900
25.00000,23.07900
25.00000,23.21700
25.00000,23.33500
25.00000,23.44000
25.00000,23.53100
25.00000,23.61300
25.00000,23.68600
25.00000,23.75200
25.00000,23.81100
25.00000,23.86500
25.00000,23.91400
25.00000,23.96000
25.00000,24.00100
25.00000,24.04000
25.00000,24.07500
25.00000,24.10800
25.00000,24.13900
25.00000,24.16800
25.00000,24.19500
25.00000,24.22000
25.00000,24.24300
25.00000,24.26600
25.00000,24.28700
25.00000,24.30600
25.00000,24.32500
25.00000,24.34300
25.00000,24.36000
25.00000,24.37600
25.00000,24.39100
25.00000,24.40600
25.00000,24.41900
25.00000,24.43300
25.00000,24.44500
25.00000,24.45700
25.00000,24.46900
25.00000,24.48000
25.00000,24.49000
25.00000,24.50100
25.00000,24.51000
25.00000,24.52000
25.00000,24.52900
25.00000,24.53800
25.00000,24.54600
25.00000,24.55400
25.00000,24.56200
25.00000,24.57000
25.00000,24.57700
25.00000,24.58400
25.00000,24.59100
25.00000,24.59700
25.00000,24.60400
25.00000,24.61000
25.00000,24.61600
25.00000,24.62200
25.00000,24.62700
25.00000,24.63300
25.00000,24.63800
25.00000,24.64300
25.00000,24.64800
25.00000,24.65300
25.00000,24.65800
25.00000,24.66300
25.00000,24.66700
25.00000,24.67100
25.00000,24.67600
25.00000,24.68000
25.00000,24.68400
25.00000,24.68800
25.00000,24.69200
25.00000,24.69600
25.00000,24.69900
25.00000,24.70300
25.00000,24.70600
25.00000,24.71000
25.00000,24.71300
25.00000,24.71600
25.00000,24.71900
25.00000,24.72300
25.00000,24.72600
25.00000,24.72900
25.00000,24.73200
25.00000,24.73400
25.00000,24.73700
25.00000,24.74000
25.00000,24.74300
25.00000,24.74500
25.00000,24.74800
25.00000,24.75000
25.00000,24.75300
25.00000,24.75500
25.00000,24.75800
25.00000,24.76000
25.00000,24.76200
25.00000,24.76400
25.00000,24.76700
25.00000,24.76900
25.00000,24.77100
25.00000,24.77300
25.00000,24.77500
25.00000,24.77700
25.00000,24.77900
25.00000,24.78100
25.00000,24.78300
25.00000,24.78500
25.00000,24.78700
25.00000,24.78800
25.00000,24.79000
25.00000,24.79200
25.00000,24.79400
25.00000,24.79500
25.00000,24.79700
25.00000,24.79900
25.00000,24.80000
25.00000,24.80200
25.00000,24.80300
25.00000,24.80500
25.00000,24.80600
25.00000,24.80800
25.00000,24.80900
25.00000,24.81100
25.00000,24.81200
25.00000,24.81400
25.00000,24.81500
25.00000,24.81600
25.00000,24.81800
25.00000,24.81900
25.00000,24.82000
25.00000,24.82200
25.00000,24.82300
25.00000,24.82400
25.00000,24.82500
25.00000,24.82700
25.00000,24.82800
25.00000,24.82900
25.00000,24.83000
25.00000,24.83100
25.00000,24.83200
25.00000,24.83400
25.00000,24.83500
25.00000,24.83600
25.00000,24.83700
25.00000,24.83800
25.00000,24.83900
25.00000,24.84000
25.00000,24.84100
25.00000,24.84200
25.00000,24.84300
25.00000,24.84400
25.00000,24.84500
